Protein IDs,Alpha A30P_day_1_1, Alpha A30P_day_1_2, Alpha _day_1_1, Alpha _day_1_2
Q86B79,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q86B87-15,#VALUE!,-0.702937742,#VALUE!,-1.214340649
Q86B93;Q9VG88,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q86BA1;Q86BA1-3;Q86BA1-2;Q86BA1-4;Q86BA1-5,-1.827205288,#VALUE!,-1.810308254,-1.962688069
Q9I7K5;Q86BA5,0.094641454,#VALUE!,0.28853575,-0.018045083
Q9VN51;Q8IPN1;Q86BB5;Q95TU9;Q86BB4,-1.349235441,0.509949146,-0.550591817,-1.314804371
Q86BG8;Q961L8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q86BH5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q86BH6,-1.41299993,-1.411809476,-1.880019731,-1.837171246
Q86BK8;Q86BK7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q86BM0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q86BM8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q86BN8-2;Q86BN8,#VALUE!,0.480161699,#VALUE!,#VALUE!
Q86BQ3;Q8IGQ3,0.97819563,1.318866335,#VALUE!,#VALUE!
Q86BR2;Q8IH18;Q9V486,#VALUE!,#VALUE!,-1.75960018,#VALUE!
Q86BS2;Q960F7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q86BS5;Q8MQJ8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q86NK9;Q8IR38;Q8IR37;Q9XYX1,-0.797889501,-1.772357489,-1.463986899,-1.917787929
Q86NP2,#VALUE!,#VALUE!,-0.121564992,#VALUE!
Q86NW1;Q8IH57,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q86P18;Q9VBF7,-0.861657334,-0.408320583,-0.945582139,-0.890305135
Q86PB3;Q9VB68,#VALUE!,#VALUE!,1.430981025,#VALUE!
Q9VNB4;Q8I099,-1.730727422,#VALUE!,-1.614403304,-1.342780747
Q8I0A0;Q9VCF8,-1.309073414,-1.375384367,-0.157157904,-0.423855213
Q8I0D8;Q9VT37,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8I0G5-2,-3.528889555,-2.617321682,-1.488997585,-2.493621481
Q8I0G5-3;Q8I0G5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8I0H9;Q8IPL0;Q9VMU5;Q59DZ9;Q59E00,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8I0J3,-2.37250522,#VALUE!,#VALUE!,-1.509142386
Q8I0M2;Q8MRT7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VAD0;Q8I0P9,#VALUE!,#VALUE!,-0.39995866,-0.344703132
Q8I930,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8I935;Q8I0D5;Q8I934,-1.781603189,-2.204499011,#VALUE!,#VALUE!
Q8IGY1;Q95TA3;Q8IG84,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IM86;Q8IM87;Q9V483,#VALUE!,-0.686243345,#VALUE!,#VALUE!
Q8IMB8;Q8IGF3,#VALUE!,#VALUE!,#VALUE!,-1.929335899
Q8IMB9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IMC5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IMG2;Q9V9V0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IMG8,0.62928667,#VALUE!,#VALUE!,1.199939268
Q8IMH4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IMI0;Q9VA53;Q961V3;Q7KRU0,#VALUE!,#VALUE!,#VALUE!,-2.328362415
Q8IMK3;Q9VAG3,2.244947931,#VALUE!,#VALUE!,#VALUE!
Q8IMK6;Q9VAI5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VAK1;Q8IMK7;Q961C5,-1.247593929,-1.528906207,-0.672450589,-1.720231578
Q8IML6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IMM7;Q8IMM8;Q9Y137,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IMP0;Q8IMP1;Q8IMP2,-1.12601361,#VALUE!,#VALUE!,#VALUE!
Q8IMR3;Q9VBC5;Q8IMR4,#VALUE!,#VALUE!,-0.755234692,0.203890227
Q8IMR7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VBQ1;Q8IMS8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IMT3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IMU2;Q8SWX6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IMW2;Q9VC56;Q7KS15,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VC89;Q8IMW9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IMX7;Q8IMX7-2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IN02,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VD13;Q8IN05,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IN20,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IN24;Q9Y133,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IN51,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IN53;Q9VDL7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8INB9-2;Q8INB9,#VALUE!,#VALUE!,#VALUE!,-2.253738836
Q8IND0;Q9VF14,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VF77;Q8INE1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8INE8;Q9VFB3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8INF8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8INJ4;Q9VGF8;A8JQY2,-0.971515715,-0.83580585,-0.885286503,-0.589615474
Q8INK7;Q9VGQ2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8INK9-4;Q8INK9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9XYA7;Q8INR0;Q8INQ9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8INX7;P15278-2,-0.474652716,#VALUE!,#VALUE!,#VALUE!
Q8INZ8;Q8SX47,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IP18;Q9V3W1,-1.057361639,-1.260359246,-2.277533976,#VALUE!
Q8IP22;Q9VJM0,-0.337812734,-0.567361227,-1.382099736,-0.383981136
Q8IP62,-0.885792913,-0.79188233,-0.803493671,-1.259115602
Q8IP64;Q9VJW1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IP91,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IPA4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IPA5;Q8IPA7;Q8IPA6;Q8IPA8,#VALUE!,#VALUE!,#VALUE!,-0.851521384
Q8IPB1;Q9V3I1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IPC5;Q9VL04;Q8IPC4;Q8IPC3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IPF5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VLR4;Q8IPG2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IPG7;Q8IPG8,-1.752825922,-2.815326153,-1.586232631,-1.099649033
Q8IPG9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IPI3;Q9VM32;Q9VM31,-1.182098462,#VALUE!,#VALUE!,-1.459298176
Q8IPI7;Q9VM49,-1.374299338,#VALUE!,#VALUE!,#VALUE!
Q8IPJ3;Q9VM88;E1JHA3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IPJ6;Q9Y0Z0,-0.89174989,#VALUE!,-1.227962345,-1.54182801
Q9VMH3;Q9GQR5;Q8IPK0,-0.730081155,-0.258977486,-0.46438495,0.381172605
Q8IPK4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IPL3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VN29;Q8IPL8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IPQ2;Q9VND9;Q8IPQ3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VNC0;Q8IPQ6,-0.227658239,#VALUE!,#VALUE!,#VALUE!
Q8IPX7,#VALUE!,-0.858854992,#VALUE!,#VALUE!
Q9VQL4;Q8IPZ3,0.457646819,0.303693088,0.181293413,-0.294402445
Q8IQ18,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQ25;Q9VR57,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQ76;Q95ST0;Q9VS11,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQ94,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQA1;Q9VSH3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQA5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQB7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQC6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQD7;Q8IQD8;Q9VT88,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQF8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQG1-4;Q8IQG1-3;Q8IQG1;Q8IQG1-2,-1.382626281,-1.598762751,-1.941974497,-1.935558576
Q9XZ09;Q8IQH9;Q8IQI0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQM5;Q9VUR4,#VALUE!,#VALUE!,#VALUE!,0.069702167
Q8IQM9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQN2;Q9VUY1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQN4;Q8MV37;A8JNT5;Q9VUX6;A8JNT4;A8JNT6;Q9VUX7,-1.025705649,-1.045610102,-0.475815937,-1.30914491
Q8IQN8;B7Z061,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQS5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IQU1;Q9VW30;Q9VW31;E1JI40,-1.775465737,-1.406904431,-3.269929627,-2.514325875
Q9VWB8;Q8IQV9,#VALUE!,#VALUE!,#VALUE!,-1.954389284
Q8IQW2,#VALUE!,1.35901507,#VALUE!,#VALUE!
Q8IR23,-0.878401006,0.33845294,#VALUE!,-1.150817365
Q9VXP1;Q8IR26,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IR57,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IR86;Q9VYV8,#VALUE!,-0.769305103,#VALUE!,#VALUE!
Q8IRD2;Q9VZQ1,#VALUE!,#VALUE!,-0.641738786,-0.607001236
Q9VZQ9;Q8IRD5,-1.757110965,#VALUE!,-2.002599191,-1.958476638
Q8IRE3;Q9VZT1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VZV1;Q8IRE6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IRG6;Q8IRG6-2,#VALUE!,#VALUE!,0.324925784,#VALUE!
Q8IRH5-2;Q8IRH5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0I2;Q8IRH8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IRI6-4;Q8IRI6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W0T7;Q8IRJ7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8IRN0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9W4A1;Q8IRR5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MKJ4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MKJ5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MKL1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MKN0,#VALUE!,-0.346059497,#VALUE!,#VALUE!
Q8MLQ0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MLW4,-0.889022122,-1.192447236,0.506195692,-0.900045044
Q8MM39;Q8MPN6;Q8MM49;Q8MPN8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MMC6;Q0E8W1,-2.668409424,-2.188430327,-2.401329898,-2.378419294
Q8MQS4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MR62,-1.132546294,-1.645750971,-1.4058719,-1.114285082
Q8MRI4,#VALUE!,#VALUE!,-1.467972357,-1.425539983
Q8MRP7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MRS5;Q9VCE7;Q95R71,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MS27,-0.287694769,#VALUE!,#VALUE!,#VALUE!
Q8MS59,#VALUE!,-0.621443987,#VALUE!,#VALUE!
Q8MS69,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MSB1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MSS1,-1.229754491,-0.920597994,-1.529239297,-2.466735687
Q8MSV1;Q9XZF0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MT06,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8MT48,#VALUE!,#VALUE!,-0.726376695,-1.29385407
Q8MV48,-0.945443216,-0.822809318,-1.956683495,-2.005087245
Q8MZ07,-1.368662856,-1.287289777,-1.303080309,-1.726997425
Q8SWR8;Q8SWR8-2;Q8SWR8-3,-0.977724522,-1.814869258,-1.214374125,-1.336281945
Q8SWS3;Q9VV16,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SWW9,-0.735739824,#VALUE!,-0.327185466,-0.415191395
Q8SX06,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SX32,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SX35,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SX37,#VALUE!,0.048375705,#VALUE!,#VALUE!
Q8SX89,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SX92;Q9W091,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXC0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXE1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXK2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXP8;Q9W1I0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXS0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXU3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXW3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SXX2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SY33,-1.967475934,-1.388770952,-1.356901135,-1.346811545
Q8SY41,-1.645299607,#VALUE!,#VALUE!,#VALUE!
Q8SY58,0.529970829,-0.518184426,#VALUE!,0.336283388
Q8SY67,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SYC4,-0.86079248,#VALUE!,-1.797764096,-1.477582618
Q8SYH8,#VALUE!,0.228603232,#VALUE!,#VALUE!
Q8SYL0,-1.066518005,#VALUE!,#VALUE!,-1.134540388
Q8SYL1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SYP9,-1.431948432,-1.737542788,-2.087304154,-1.566442266
Q8SYQ8,#VALUE!,#VALUE!,#VALUE!,-0.409316549
Q8SYS7-3;Q8SYS7-4;Q8SYS7-2;Q8SYS7,-1.9763614,#VALUE!,#VALUE!,#VALUE!
Q8SYU0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SYY6,#VALUE!,-1.266524174,-1.17156339,-1.340404194
Q8SYY7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZ16,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZ46,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZ63,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZ72,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZ87,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZB7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8SZY4;Q7K0L5,-1.382626281,-1.168479424,#VALUE!,#VALUE!
Q9VGL7;Q8T007,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T045,#VALUE!,#VALUE!,#VALUE!,-1.618295787
Q8T088,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T0I9;Q9VM97,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T0K1;Q9VAK7,-0.482915839,-0.015709609,-0.904251076,0.290424404
Q8T0R1;Q9VCQ6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T0R7,#VALUE!,#VALUE!,-0.708820826,-1.17078366
Q8T0S3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T0S6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T0T9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T0V6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T3L6,-0.390642165,#VALUE!,#VALUE!,#VALUE!
Q9VHC6;Q8T3V6,-0.995534563,-0.876466228,-0.6347106,-0.851495352
Q9VGQ4;Q8T3W8;Q9VGQ3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T481,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T4C9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T4F7-2;Q8T4F7-3;Q8T4F7-1;Q8T4F7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T8T9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8T8W2;Q6AWP0,#VALUE!,-0.263542324,#VALUE!,#VALUE!
Q8T9B6,-0.267270601,-0.466376852,-0.270260175,-0.619824688
Q8WSF3;Q8WSF3-2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q8WTC1,-1.835986111,#VALUE!,-1.48681248,0.12551886
Q94513,-1.055771231,#VALUE!,-0.701763998,#VALUE!
Q94519-2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q94527-2;Q94527,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q94533,-0.65120104,#VALUE!,#VALUE!,#VALUE!
Q94535,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q94547-2;Q94547,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q94883,-1.117349126,-0.409488998,-1.304469349,-0.320630253
Q94887,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95NU8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95RA8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95RB1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95RC0;Q95RC0-2;Q95RC0-3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95RF6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95RG8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95RI2;Q9VU07,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95RN0-2;Q95RN0,0.140647793,-1.183605091,-1.001125741,-1.20826093
Q95RQ8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95RS6,-1.572308019,#VALUE!,-1.393766255,-1.480317204
Q9VUQ1;Q95RY2;Q8MQK5,-1.57531435,-1.087978697,-1.402588012,-1.070087836
Q95SH0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95SH7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95SK3,0.598174612,0.22650853,-0.069270231,0.146915848
Q95SR0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95SS8,0.366923649,0.375845725,#VALUE!,0.007051943
Q95T12-3;Q95T12-2;Q95T12,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95T19,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95T98,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95TN1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95TP0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9VKD8;Q95TU2,#VALUE!,#VALUE!,-1.134983894,0.265436896
Q95U01,#VALUE!,#VALUE!,-1.078776966,#VALUE!
Q95U06,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95U15,2.267356012,0.988848259,#VALUE!,#VALUE!
Q95U30,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95U32,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q95U54,-2.167409693,-2.010134377,#VALUE!,0.242815884
Q960R0;Q9W1B5,#VALUE!,-1.586969242,#VALUE!,#VALUE!
Q960T2-5;Q960T2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q960T6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q961B9,-1.590353814,#VALUE!,-0.818248621,-0.694251225
Q9I7J4;Q961C8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q961D1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q961D9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q961G1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q961Q7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q961T9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q961X4;Q9VU76,#VALUE!,#VALUE!,#VALUE!,-1.297679346
Q962I2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q966T5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q99323-2;Q99323-4;Q99323-1;Q99323,#VALUE!,#VALUE!,#VALUE!,-2.043764881
Q9GQN0,#VALUE!,-3.930402311,#VALUE!,#VALUE!
Q9GYU8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9I7J1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9I7K0-2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9I7K0-6;Q9I7K0-5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9I7K3,-1.054901749,-1.133084111,-0.858828828,-1.22108497
Q9I7K6,-1.016132633,0.275007047,-1.01196615,-1.312867627
Q9I7N2;Q9I7N3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9I7Q9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9I7T7-2;Q9I7T7;Q9I7T7-3,-2.520603859,#VALUE!,-0.907494851,-1.922100758
Q9I7W2,#VALUE!,-1.735571663,#VALUE!,#VALUE!
Q9NBD7,#VALUE!,-1.82194193,#VALUE!,-1.637109357
Q9NBK5-3;Q9NBK5-2;Q9NBK5-4;Q9NBK5,-1.04513369,-1.172896404,-1.004247771,#VALUE!
Q9NCC3,-1.274634015,-1.312401761,-0.658856782,-0.894107411
Q9NDM2,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9NG60,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9NHA8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9NHD5,-0.512822392,-0.474291907,-0.803695123,-0.735355484
Q9NII1-6;Q9NII1-3;Q9NII1-2;Q9NII1-5;Q9NII1-7;Q9NII1-4;Q9NII1;Q2PE36,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9TVQ5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9U1K7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9U4F3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9U4F8,-0.76410142,1.338795203,-2.027086823,#VALUE!
Q9U6L4,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9U6L5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9U6M0,#VALUE!,#VALUE!,-0.771470647,0.562962829
Q9U6P7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9U6Y9-2;Q9U6Y9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9U9P7,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V359,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V393,-0.287589108,-0.015184648,#VALUE!,#VALUE!
Q9V3A4,0.142478791,-0.396365347,-0.136093258,#VALUE!
Q9V3A6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3B6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3C5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3D0,-1.334789169,-1.77724489,-1.720944784,#VALUE!
Q9V3D2,#VALUE!,#VALUE!,-0.706723697,-0.774848488
Q9V3D9,-2.492809199,-1.171400912,-1.665752105,-1.994470661
Q9V3E9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3G3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3H8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3H9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3I6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3J8,-1.060006195,-1.033303759,-0.870229022,1.508935662
Q9V3K7,-2.946860853,-2.19093135,-1.182884333,-2.156112607
Q9V3L6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3N6,#VALUE!,#VALUE!,-0.369967366,-0.505246478
Q9V3N8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3Q4,-1.681862512,-1.633165851,#VALUE!,#VALUE!
Q9V3Q9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3R1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3R8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3T8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3T9,-0.725613087,-0.777170714,-1.17351456,#VALUE!
Q9V3U0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3V0,#VALUE!,-0.04071948,#VALUE!,-0.356106878
Q9V3Y5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V3Z6,-2.014557862,-2.229450008,-1.955004446,-1.960440443
Q9V406,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V411,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V414,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V449,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V463;Q9VKL5,-1.821992939,-3.592954041,#VALUE!,#VALUE!
Q9V466,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V475;Q8IP45,-2.500462771,-1.259840931,-0.746639971,-0.485680764
Q9V498,-0.570250149,#VALUE!,#VALUE!,#VALUE!
Q9V4B6,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V4B8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V4C0,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V4C8;Q9V4C8-2,-1.063710705,-0.369054085,-1.191755004,-1.11303632
Q9V4D6;Q8IMC6,-1.767093699,-1.855431482,#VALUE!,-1.608716192
Q9V4T5,#VALUE!,#VALUE!,-1.909905369,#VALUE!
Q9V4U9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V558,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V576-2;Q9V576,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V677,-0.832642072,-1.741830862,-2.496875193,-1.895824394
Q9V6G5-2;Q9V6G5-3;Q9V6G5,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V6L9,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V6U8,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Q9V6Y3,#VALUE!,#VALUE!,#VALUE!,#VALUE!
